rank,pattern_id,used_volume,waste_volume,utilization,total_profit,count_J01,count_J02,count_J03,count_J04,count_J05,count_J06,count_J07,num_pieces,source_method,is_valid
87,264,3000000,750000,0.8,30000,0,0,0,0,0,30,0,30,grid,True
88,581,2998000,752000,0.7994666666666667,31000,0,1,3,4,7,2,1,18,extreme_point,True
89,613,2998000,752000,0.7994666666666667,31040,0,0,3,2,8,4,1,18,extreme_point,True
90,1358,2998000,752000,0.7994666666666667,31430,0,1,1,1,9,2,6,20,ep_alt_weights,True
91,1066,2996000,754000,0.7989333333333334,31060,0,1,4,0,9,3,2,19,extreme_point,True
92,946,2990000,760000,0.7973333333333333,30930,0,3,1,3,8,2,0,17,extreme_point,True
93,732,2988000,762000,0.7968,30940,2,2,2,2,9,0,0,17,extreme_point,True
94,1012,2988000,762000,0.7968,30860,2,0,2,2,8,4,0,18,extreme_point,True
95,866,2980000,770000,0.7946666666666666,30760,0,2,4,0,9,3,0,18,extreme_point,True
96,1133,2980000,770000,0.7946666666666666,30870,0,3,0,1,9,4,0,17,extreme_point,True
97,1195,2980000,770000,0.7946666666666666,30550,0,0,4,7,4,4,0,19,ep_alt_weights,True
98,1452,2980000,770000,0.7946666666666666,31050,0,0,0,1,10,4,0,15,ep_alt_weights,True
99,1456,2980000,770000,0.7946666666666666,30890,0,0,0,5,7,4,0,16,ep_alt_weights,True
100,1361,2978000,772000,0.7941333333333334,30630,0,1,3,3,6,6,1,20,ep_alt_weights,True
101,1260,2970000,780000,0.792,30930,0,0,1,1,10,3,0,15,ep_alt_weights,True
102,1315,2968000,782000,0.7914666666666667,30770,1,3,0,3,7,3,3,20,ep_alt_weights,True
103,1180,2966000,784000,0.7909333333333334,30750,0,1,1,1,8,6,2,19,ep_alt_weights,True
104,828,2960000,790000,0.7893333333333333,30790,0,2,0,3,9,1,0,15,extreme_point,True
105,1212,2960000,790000,0.7893333333333333,30670,0,1,0,5,7,3,0,16,ep_alt_weights,True
106,1255,2960000,790000,0.7893333333333333,30550,0,1,2,1,8,6,0,18,ep_alt_weights,True
107,1334,2960000,790000,0.7893333333333333,30530,0,0,4,1,8,5,0,18,ep_alt_weights,True
108,748,2958000,792000,0.7888,30850,0,1,3,3,7,1,6,21,extreme_point,True
109,692,2950000,800000,0.7866666666666666,30470,3,0,1,3,7,4,1,19,extreme_point,True
110,945,2948000,802000,0.7861333333333334,30570,0,2,2,3,8,1,1,17,extreme_point,True
111,1375,2948000,802000,0.7861333333333334,30680,0,0,2,2,9,2,1,16,ep_alt_weights,True
112,824,2944000,806000,0.7850666666666667,30500,0,1,2,2,7,5,3,20,extreme_point,True
113,1059,2944000,806000,0.7850666666666667,30110,1,4,4,5,5,1,0,20,extreme_point,True
114,1341,2942000,808000,0.7845333333333333,30420,1,3,1,4,7,1,1,18,ep_alt_weights,True
115,612,2940000,810000,0.784,30380,0,0,4,2,8,3,0,17,extreme_point,True
116,667,2940000,810000,0.784,30330,0,2,2,1,8,5,0,18,extreme_point,True
117,812,2940000,810000,0.784,30280,0,0,2,4,6,6,0,18,extreme_point,True
118,897,2940000,810000,0.784,30230,0,3,4,5,6,0,0,18,extreme_point,True
119,906,2938000,812000,0.7834666666666666,30400,0,1,5,0,9,2,1,18,extreme_point,True
120,1060,2936000,814000,0.7829333333333334,30360,0,0,2,4,6,5,2,19,extreme_point,True
121,1435,2936000,814000,0.7829333333333334,30270,0,0,4,3,6,5,2,20,ep_alt_weights,True
122,1234,2934000,816000,0.7824,30380,0,1,3,2,7,4,3,20,ep_alt_weights,True
123,1437,2930000,820000,0.7813333333333333,30440,0,0,1,4,8,2,0,15,ep_alt_weights,True
124,1101,2928000,822000,0.7808,30460,0,1,2,2,9,1,1,16,extreme_point,True
125,580,2926000,824000,0.7802666666666667,30380,0,2,1,2,8,3,2,18,extreme_point,True
126,983,2926000,824000,0.7802666666666667,30520,0,0,1,4,8,1,2,16,extreme_point,True
127,1440,2924000,826000,0.7797333333333333,30480,0,0,0,2,8,5,3,18,ep_alt_weights,True
